,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
56474,2008-08-15 14:50:00,43.3913,-72.0576,loon,0.5,21.95,edi.499.2,8,1218811800000.0
56475,2008-08-15 15:00:00,43.3913,-72.0576,loon,0.5,21.94,edi.499.2,8,1218812400000.0
56476,2008-08-15 15:10:00,43.3913,-72.0576,loon,0.5,21.95,edi.499.2,8,1218813000000.0
56477,2008-08-15 15:20:00,43.3913,-72.0576,loon,0.5,21.94,edi.499.2,8,1218813600000.0
56478,2008-08-15 15:30:00,43.3913,-72.0576,loon,0.5,21.91,edi.499.2,8,1218814200000.0
56479,2008-08-15 15:40:00,43.3913,-72.0576,loon,0.5,21.88,edi.499.2,8,1218814800000.0
374041,2008-08-15 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,21.8,edi.498.1,8,1218812400000.0
408836,2008-08-15 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.630000000000006,edi.498.1,8,1218812400000.0
443631,2008-08-15 15:00:00,43.3235,-72.0411,Newbury,1.5,22.16,edi.498.1,8,1218812400000.0
478426,2008-08-15 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.84,edi.498.1,8,1218812400000.0
